clust_no,area,region,mpi_0,mpi_0_SE,mpi_0_loCI,mpi_0_upCI,mpi_3,mpi_3_SE,mpi_3_loCI,mpi_3_upCI,tot_samp_ppl,pct_samp_ppl_mis
116,urban,Kampong Speu,0.14766082,0.033542253,0.076167196,0.21915445,0.06871345,0.037541743,-0.011304879,0.14873178,76,0.0
117,rural,Kampong Speu,0.25946277,0.02651937,0.20324421,0.3156813,0.14468865,0.046966273,0.045124594,0.2442527,91,0.0
118,rural,Kampong Speu,0.32208994,0.026769245,0.2656118,0.3785681,0.19973545,0.053910006,0.08599528,0.31347564,84,0.0
119,rural,Kampong Speu,0.3500761,0.0409085,0.26335397,0.43679824,0.29832572,0.055899285,0.17982453,0.41682693,73,0.0
120,rural,Kampong Speu,0.15261814,0.022578903,0.10498082,0.20025545,0.030012771,0.0204942,-0.013226209,0.073251754,87,0.0
121,rural,Kampong Speu,0.22507124,0.025912711,0.17013873,0.28000373,0.07336182,0.040561717,-0.012625176,0.15934883,80,2.499997615814209
122,rural,Kampong Speu,0.15201466,0.030393148,0.08789072,0.21613859,0.045787547,0.031696543,-0.021086313,0.11266141,91,0.0
123,rural,Kampong Speu,0.26230663,0.03157346,0.19537388,0.32923937,0.14978904,0.05209858,0.039344974,0.2602331,79,0.0
124,rural,Kampong Speu,0.2982456,0.035031874,0.22433482,0.3721564,0.20643276,0.05467826,0.0910717,0.3217938,95,0.0
125,rural,Kampong Speu,0.46090537,0.033125374,0.39068273,0.53112805,0.4266118,0.050159927,0.3202775,0.5329461,86,5.813956260681152
126,rural,Kampong Speu,0.32958803,0.044260453,0.23576006,0.423416,0.24594258,0.06419411,0.10985715,0.382028,91,2.1978020668029785
127,rural,Kampong Speu,0.31111112,0.031869415,0.24387252,0.37834972,0.22698413,0.053227656,0.11468359,0.33928466,70,0.0
128,rural,Kampong Thom,0.14007093,0.024806863,0.08773302,0.19240883,0.014184398,0.014464541,-0.016333116,0.04470191,94,0.0
129,rural,Kampong Thom,0.34305558,0.07072186,0.1938455,0.49226567,0.27013892,0.08580121,0.08911419,0.45116365,80,0.0
130,rural,Kampong Thom,0.3442761,0.036590584,0.26670754,0.42184466,0.29040405,0.05595007,0.17179519,0.4090129,66,0.0
131,rural,Kampong Thom,0.2428775,0.02925942,0.18114552,0.30460948,0.12321938,0.042511385,0.033528194,0.21291056,78,0.0
132,rural,Kampong Thom,0.36650085,0.055171322,0.24731046,0.48569125,0.27860698,0.07966607,0.106498905,0.45071507,72,6.944441795349121
133,rural,Kampong Thom,0.083333336,0.021752324,0.037439942,0.12922673,0.0,,,,68,0.0
134,rural,Kampong Thom,0.22539683,0.030944513,0.1597974,0.29099625,0.093650796,0.05211901,-0.016836572,0.20413816,70,0.0
135,rural,Kampong Thom,0.3099063,0.03904025,0.22714467,0.39266792,0.17603749,0.06243242,0.043686673,0.3083883,83,0.0
136,rural,Kampong Thom,0.32627866,0.04069134,0.23954713,0.4130102,0.18959436,0.069282725,0.04192173,0.337267,68,7.352942228317261
137,rural,Kampong Thom,0.4488889,0.028202724,0.38938636,0.50839144,0.44222224,0.030700412,0.37745005,0.5069944,100,0.0
138,rural,Kampong Thom,0.4975125,0.054594204,0.38177794,0.61324704,0.49253735,0.055962257,0.37390268,0.611172,67,0.0
139,urban,Kampong Thom,0.20815752,0.041785568,0.1185364,0.29777867,0.12939522,0.058226928,0.0045108767,0.25427955,87,9.19540524482727
140,urban,Kampong Thom,0.14387465,0.026350006,0.08771094,0.20003836,0.017094018,0.017326575,-0.019836701,0.054024737,78,0.0
141,urban,Kampong Thom,0.0829904,0.033339366,0.011929223,0.15405157,0.034293555,0.034529865,-0.039305113,0.10789222,81,0.0
142,urban,Kampong Thom,0.10285286,0.030108817,0.03867743,0.16702828,0.027027028,0.026544299,-0.029550804,0.08360486,74,0.0
143,urban,Kampong Thom,0.13380282,0.04706588,0.033484273,0.23412137,0.051643196,0.050706193,-0.05643449,0.15972088,71,0.0
144,urban,Kampong Thom,0.117592596,0.031779177,0.049433038,0.18575215,0.02962963,0.029866775,-0.034428235,0.0936875,60,0.0
145,urban,Kampong Thom,0.1991453,0.045267183,0.102056846,0.29623377,0.12991454,0.05003129,0.022608086,0.23722097,68,4.411762952804565
146,rural,Kampong Thom,0.23170732,0.03495604,0.15760383,0.3058108,0.12533875,0.053330775,0.012282563,0.23839495,82,0.0
147,rural,Kampong Thom,0.3912037,0.031004515,0.3257899,0.45661753,0.375,0.036975287,0.29698896,0.45301104,72,0.0
148,rural,Kampong Thom,0.31364277,0.05989454,0.18667202,0.44061354,0.2116737,0.07778593,0.0467749,0.37657252,79,0.0
149,rural,Kampong Thom,0.2902047,0.035542484,0.2152166,0.36519277,0.20394738,0.054121077,0.08976188,0.31813288,76,0.0
150,rural,Kampong Thom,0.21017404,0.035559077,0.13438165,0.28596643,0.090361446,0.04743447,-0.010742737,0.19146563,89,6.741571426391602
151,rural,Kampong Thom,0.4271845,0.03972441,0.3433733,0.5109957,0.3894283,0.052194927,0.27930662,0.49954996,103,0.0
152,rural,Kampong Thom,0.25783476,0.025187973,0.20469278,0.31097674,0.13817663,0.046602767,0.039853394,0.23649989,78,0.0
153,rural,Kampong Thom,0.2484985,0.043541785,0.15663336,0.34036365,0.16741742,0.058210548,0.044603903,0.29023093,74,0.0
154,rural,Kampong Thom,0.34829062,0.043236945,0.25706863,0.43951258,0.28988606,0.05985122,0.16361101,0.4161611,78,0.0
155,rural,Kampong Thom,0.2638889,0.049724992,0.15897833,0.36879948,0.15343916,0.0664243,0.013296136,0.29358217,84,0.0
156,rural,Kampong Thom,0.4521073,0.04426967,0.35870647,0.54550815,0.41060027,0.058671586,0.28681406,0.5343865,87,0.0
157,rural,Kampong Thom,0.20906433,0.0348301,0.13522781,0.28290084,0.10891813,0.051869266,-0.0010397976,0.21887606,80,5.0000011920928955
158,rural,Kampong Thom,0.27333334,0.037638094,0.19310965,0.35355705,0.16814816,0.05682143,0.047036145,0.28926015,80,6.25
159,rural,Kampong Thom,0.25623584,0.0384477,0.17511828,0.3373534,0.14115646,0.054712247,0.025723716,0.25658923,98,0.0
160,rural,Kandal,0.22041063,0.029925162,0.15727407,0.2835472,0.07125604,0.0419765,-0.017306631,0.15981871,92,0.0
161,urban,Kandal,0.16928105,0.04087293,0.082162455,0.25639963,0.05490196,0.05061965,-0.052991267,0.16279519,85,0.0
162,rural,Kandal,0.19507577,0.0441802,0.10141792,0.2887336,0.108585864,0.055093143,-0.0082063805,0.22537811,90,2.222222089767456
163,rural,Kandal,0.1506734,0.035473015,0.07403862,0.2273082,0.065656565,0.042058703,-0.025205731,0.15651886,83,20.481926202774048
164,rural,Kandal,0.1865942,0.044055697,0.09364482,0.2795436,0.0736715,0.049010433,-0.029731475,0.17707448,92,0.0
165,urban,Kandal,0.15945166,0.03889765,0.075418405,0.24348491,0.06349207,0.046806034,-0.03762623,0.16461036,83,7.228916883468628
166,rural,Kandal,0.29851854,0.046477612,0.19945385,0.39758322,0.19481482,0.0679066,0.05007532,0.33955434,83,9.638553857803345
167,rural,Kandal,0.23148149,0.045249052,0.13372685,0.32923612,0.14969136,0.06211169,0.015507214,0.2838755,86,16.27907156944275
168,rural,Kandal,0.23835127,0.06881269,0.090762734,0.3859398,0.12992834,0.080231465,-0.04215105,0.3020077,67,7.46268630027771
169,rural,Kandal,0.17395264,0.030030085,0.10994504,0.23796026,0.041894354,0.029767336,-0.021553222,0.10534193,63,3.17460298538208
170,rural,Kandal,0.23,0.043193735,0.13668561,0.3233144,0.14444445,0.057947155,0.019257229,0.26963165,59,15.25423526763916
171,rural,Kandal,0.4047619,0.032712627,0.33541426,0.4741096,0.35396826,0.05607208,0.23510076,0.47283575,70,0.0
172,rural,Kandal,0.18567252,0.032586314,0.11659262,0.25475243,0.10672515,0.04030762,0.021276815,0.19217348,76,0.0
173,rural,Kandal,0.28163582,0.025669608,0.22692233,0.33634928,0.14274691,0.04674616,0.04310983,0.242384,80,10.000002384185791
174,rural,Kandal,0.27539682,0.04028435,0.1889955,0.36179817,0.19444445,0.059245385,0.06737574,0.32151318,80,12.5
175,rural,Kandal,0.14907408,0.025947543,0.09196392,0.20618424,0.0,,,,87,31.034481525421143
176,rural,Kandal,0.16457024,0.031124096,0.098230794,0.23090968,0.023060797,0.01868355,-0.016762251,0.06288385,60,11.666667461395264
177,urban,Kandal,0.19925927,0.03157088,0.13196753,0.26655102,0.047407407,0.033856153,-0.024755273,0.11957009,75,0.0
178,rural,Kandal,0.2100271,0.038999576,0.1277452,0.29230902,0.12804878,0.049948525,0.022666607,0.23343095,82,0.0
179,rural,Kandal,0.28958336,0.031058028,0.22405663,0.35511005,0.14861111,0.05322546,0.036315203,0.26090702,80,0.0
180,rural,Kandal,0.34509805,0.046807937,0.24634194,0.44385415,0.26078433,0.06794695,0.117428795,0.40413988,85,0.0
181,rural,Kandal,0.17962964,0.04146201,0.09125545,0.26800382,0.096296296,0.05066334,-0.011690057,0.20428266,97,7.2164952754974365
182,rural,Kandal,0.21146955,0.03867048,0.12904537,0.29389372,0.101254486,0.051445287,-0.008398548,0.21090752,64,3.125
183,rural,Kandal,0.35820895,0.034858152,0.2846647,0.43175322,0.31094527,0.05269278,0.19977324,0.42211732,67,0.0
184,rural,Kandal,0.135101,0.03488481,0.061500497,0.20870152,0.0479798,0.04160288,-0.0397946,0.1357542,88,0.0
185,rural,Kandal,0.19958848,0.04168996,0.11163036,0.2875466,0.12688614,0.05487374,0.011112678,0.24265961,81,0.0
186,urban,Kandal,0.1788618,0.034805275,0.1046761,0.2530475,0.059620596,0.04203154,-0.029967511,0.14920871,82,0.0
187,urban,Kandal,0.07902974,0.026819305,0.021090148,0.13696933,0.0,,,,71,0.0
188,urban,Kandal,0.08461539,0.024682665,0.03200553,0.13722524,0.011965812,0.009284362,-0.007823337,0.031754963,65,0.0
189,urban,Kandal,0.08730159,0.022973625,0.038028065,0.13657512,0.0,,,,79,2.5316476821899414
190,urban,Kandal,0.07323232,0.025693709,0.0181248,0.12833986,0.0,,,,69,4.347825050354004
191,urban,Kandal,0.075,0.025014296,0.02168329,0.12831672,0.0,,,,80,0.0
192,urban,Kratie,0.39912283,0.04946569,0.29368922,0.5045564,0.33552635,0.07282585,0.18030171,0.49075094,76,0.0
193,rural,Kratie,0.4045752,0.044947762,0.3092902,0.49986017,0.3254902,0.0701325,0.17681594,0.4741645,89,4.494380950927734
194,rural,Kratie,0.42911878,0.04218431,0.3392051,0.51903254,0.37835252,0.059309654,0.25193697,0.5047681,62,6.451612710952759
195,rural,Kratie,0.29333335,0.03393721,0.22173208,0.3649346,0.17777778,0.057221252,0.05705149,0.29850408,75,0.0
196,rural,Kratie,0.2607261,0.025728779,0.2064431,0.31500906,0.12926292,0.045429017,0.03341608,0.22510979,101,0.0
197,urban,Kratie,0.108298175,0.03727502,0.02884835,0.187748,0.05907173,0.039781075,-0.025719622,0.14386308,79,0.0
198,urban,Kratie,0.14611873,0.036739357,0.06781064,0.2244268,0.05175038,0.03240671,-0.017322885,0.12082365,73,0.0
199,urban,Kratie,0.1948718,0.063529566,0.05861444,0.33112916,0.13846155,0.069240384,-0.010044304,0.2869674,65,0.0
200,urban,Kratie,0.41631508,0.05471194,0.29896963,0.53366053,0.3762307,0.06984555,0.22642688,0.5260345,79,0.0
201,urban,Kratie,0.24314575,0.062404756,0.10930087,0.37699065,0.16522367,0.07604095,0.002132046,0.3283153,81,4.938268661499023
202,urban,Kratie,0.14506173,0.037810776,0.06446997,0.22565348,0.07175926,0.040831145,-0.015270262,0.15878879,72,0.0
