clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI
272,0.21856725,0.057974283,0.09625221,0.3408823
273,0.027417028,0.023756707,-0.022705242,0.077539295
274,0.27867386,0.05596857,0.16002578,0.3973219
275,0.046666667,0.033203006,-0.023720559,0.117053896
276,0.19082126,0.059267383,0.065180026,0.3164625
277,0.3409091,0.053656466,0.22582743,0.4559908
278,0.2960705,0.066366054,0.15605034,0.4360906
279,0.09953704,0.0536386,-0.014790933,0.21386501
280,0.05092593,0.037114725,-0.02867724,0.13052909
281,0.0,,,
282,0.016877638,0.01744092,-0.020296806,0.05405208
283,0.10521886,0.045598462,0.008554435,0.20188327
284,0.36711714,0.07186627,0.21476746,0.5194668
285,0.0,,,
286,0.07539683,0.054688826,-0.040538307,0.19133197
287,0.23846154,0.05901012,0.11268445,0.36423862
288,0.29353234,0.079480484,0.123063676,0.46400103
289,0.21505378,0.07437325,0.05813994,0.3719676
290,0.0,,,
291,0.08712121,0.0496607,-0.019390397,0.19363283
292,0.1457195,0.05721244,0.024434537,0.26700446
293,0.20977013,0.062578954,0.077108674,0.34243158
294,0.1425926,0.05304156,0.030684689,0.2545005
295,0.051282052,0.034439977,-0.02212502,0.124689125
296,0.11041667,0.05659502,-0.00955941,0.23039275
297,0.40155947,0.07203826,0.24957202,0.55354697
298,0.23287672,0.069333665,0.086595476,0.37915796
299,0.30734769,0.074125215,0.1472099,0.4674855
300,0.2983871,0.07981816,0.12595047,0.47082376
301,0.45014247,0.073602214,0.29326308,0.60702187
302,0.06111111,0.03796017,-0.019360857,0.14158309
303,0.11982571,0.049624182,0.013392425,0.226259
304,0.22063492,0.05799679,0.09701769,0.34425217
305,0.15806879,0.05633808,0.039205827,0.27693173
306,0.55626786,0.04575949,0.45972377,0.65281194
307,0.19658121,0.06128258,0.06596049,0.32720193
308,0.05399061,0.0404627,-0.03342374,0.14140496
309,0.47282612,0.063137986,0.33897957,0.6066727
310,0.32911393,0.057440497,0.20734553,0.45088235
311,0.10305958,0.049637225,-0.001665802,0.20778498
312,0.2777778,0.05535651,0.16042723,0.39512834
313,0.19604702,0.06723581,0.054191858,0.3379022
314,0.10562415,0.043095324,0.0147009585,0.19654733
315,0.0,,,
316,0.13304093,0.048131302,0.031492766,0.23458911
317,0.30628657,0.059412416,0.18093732,0.4316358
318,0.21794872,0.07382469,0.062192246,0.3737052
319,0.26515153,0.061949216,0.1331099,0.39719313
320,0.0,,,
321,0.0,,,
322,0.014141414,0.014659514,-0.017300116,0.045582943
323,0.03508772,0.034595042,-0.038649864,0.1088253
324,0.033333335,0.025039652,-0.020371377,0.08703805
325,0.27361113,0.08194356,0.09658284,0.45063943
326,0.2741546,0.058334533,0.14981748,0.3984917
327,0.33024693,0.062317275,0.19876897,0.46172488
328,0.28310505,0.056482032,0.16393836,0.40227172
329,0.17105263,0.05272689,0.059808627,0.28229666
330,0.23239438,0.075404435,0.07254411,0.39224464
331,0.4902264,0.053539135,0.37672848,0.6037243
332,0.38761178,0.06931628,0.2413672,0.53385633
333,0.37064677,0.054890055,0.25291932,0.48837423
334,0.3452381,0.054271627,0.23073497,0.45974123
335,0.47376546,0.056831464,0.35187408,0.5956568
336,0.44017097,0.06806637,0.29186708,0.58847487
337,0.4725344,0.07795188,0.30638388,0.63868487
338,0.04236111,0.032896277,-0.027043965,0.11176619
339,0.16324787,0.06079566,0.032854144,0.2936416
340,0.16529493,0.054171875,0.050455686,0.28013417
341,0.093333334,0.065766566,-0.046844784,0.23351146
342,0.0,,,
343,0.0,,,
344,0.0,,,
345,0.058080807,0.04153996,-0.031013545,0.14717516
346,0.015873017,0.016549066,-0.019400481,0.051146515
347,0.0,,,
348,0.0,,,
349,0.0,,,
350,0.0,,,
351,0.025252527,0.025272394,-0.02895137,0.07945642
352,0.0,,,
353,0.10567633,0.04296538,0.015027303,0.19632536
354,0.17027417,0.05623495,0.051061407,0.28948694
355,0.53211015,0.04660886,0.43330377,0.63091654
356,0.3481013,0.04881451,0.24405561,0.45214695
357,0.32435468,0.09181558,0.1286544,0.52005494
358,0.28224778,0.060446236,0.15471737,0.40977818
359,0.40981242,0.054323327,0.294025,0.52559984
360,0.18381345,0.055386152,0.06576066,0.30186623
361,0.056233063,0.033015657,-0.013423885,0.12589002
362,0.14222223,0.05154021,0.033481885,0.25096256
363,0.12393163,0.05563637,0.0059877955,0.24187547
364,0.078431375,0.039887656,-0.0057242196,0.16258697
365,0.05181024,0.029831136,-0.011127954,0.11474843
366,0.1473064,0.047428783,0.047240417,0.24737239
367,0.1891892,0.05323704,0.076868854,0.30150953
368,0.1456229,0.047782734,0.04481014,0.24643566
369,0.2940171,0.05853295,0.17052338,0.41751084
370,0.16666667,0.05007664,0.061014194,0.27231914
371,0.14197531,0.04798505,0.040735707,0.24321492
372,0.27419356,0.066652425,0.13212729,0.41625983
373,0.18165785,0.051604055,0.07278281,0.2905329
374,0.1577061,0.053103432,0.04566765,0.26974455
375,0.124497995,0.05691653,0.0044146143,0.24458139
376,0.060910318,0.055662856,-0.05652804,0.17834868
