clust_no,mpi,mpi_SE,mpi_lo95CI,mpi_up95CI,tot_samp_ppl,pct_samp_ppl_mis
228,0.28082192,0.05489711,0.16222394,0.39941993,73,0.0
229,0.0,,,,65,0.0
230,0.11678005,0.049797237,0.00919966,0.22436044,49,0.0
231,0.15408805,0.0630093,0.017964743,0.29021138,53,0.0
232,0.207483,0.06660915,0.059068564,0.35589743,49,0.0
233,0.20785442,0.07843753,0.033084713,0.38262412,64,9.375
234,0.34722224,0.07255484,0.19047703,0.50396746,76,0.0
235,0.1677149,0.06168271,0.03331981,0.30210996,53,0.0
236,0.12473795,0.064804666,-0.016459286,0.26593518,53,0.0
237,0.034013607,0.033376046,-0.03870655,0.10673376,49,0.0
238,0.17460318,0.06210977,0.036213994,0.31299236,56,0.0
239,0.046511628,0.04500446,-0.055295534,0.1483188,43,0.0
240,0.115009755,0.055851035,-0.007917544,0.23793705,59,3.389829397201538
241,0.21548823,0.051316045,0.10462664,0.3263498,66,0.0
242,0.12560387,0.05016904,0.017220244,0.2339875,69,0.0
243,0.17901234,0.08441089,-0.011938346,0.36996305,45,0.0
244,0.22048612,0.06761178,0.07441976,0.36655247,64,0.0
245,0.39917696,0.057153404,0.2746504,0.5237035,54,0.0
246,0.43156204,0.05522781,0.31123096,0.55189306,72,4.166668653488159
247,0.2929293,0.060225807,0.16281936,0.42303926,55,0.0
248,0.46049386,0.059565965,0.32939005,0.5915977,52,13.461536169052124
249,0.0,,,,59,0.0
250,0.0,,,,48,0.0
251,0.0,,,,50,0.0
252,0.114087306,0.06428518,-0.029149003,0.25732362,56,0.0
253,0.28935188,0.09933588,0.07474977,0.503954,72,0.0
